node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0210,40.427037759290556,-3.660045164899205,49,10,0,2,29,0.167,ALTO
PN_0211,40.42172816428694,-3.6800567365770145,60,7,0,4,66,0.167,CRITICO
PN_0212,40.386234107977074,-3.727770115453854,34,5,1,2,77,0.166,CRITICO
PN_0213,40.46610282183406,-3.6889101317499025,74,4,0,5,63,0.166,CRITICO
PN_0214,40.45005130401446,-3.60894704437549,49,8,0,5,34,0.1654,ALTO
PN_0215,40.44919096781361,-3.608183958412948,75,5,0,3,43,0.1654,CRITICO
PN_0216,40.46415410989828,-3.6668747972563804,49,3,1,1,68,0.1644,CRITICO
PN_0217,40.35618812339188,-3.6931451952141465,42,9,0,5,33,0.1642,ALTO
PN_0218,40.4269285606252,-3.690176087846643,47,2,1,3,46,0.1635,CRITICO
PN_0219,40.41585598974075,-3.649071581471913,54,10,0,0,16,0.1632,CRITICO
PN_0220,40.44764835162499,-3.6498673683413547,77,5,0,2,50,0.1628,CRITICO
PN_0221,40.41797491730337,-3.6590166798264185,28,5,1,3,63,0.1627,CRITICO
PN_0222,40.41520427950084,-3.6947417952855717,34,4,1,3,63,0.1625,CRITICO
PN_0223,40.448000547286284,-3.7038329193777355,62,8,0,1,50,0.1624,CRITICO
PN_0224,40.3851811979029,-3.7209054124167396,29,6,1,1,96,0.1622,CRITICO
PN_0225,40.46878263893744,-3.627909691446471,29,6,1,1,5,0.1622,CRITICO
PN_0226,40.44484542803693,-3.6610882979186443,95,2,0,2,64,0.1621,CRITICO
PN_0227,40.4359110273973,-3.6890491135431076,37,12,0,1,67,0.1619,ALTO
PN_0228,40.430707678665755,-3.7161240230950443,64,7,0,2,96,0.1618,CRITICO
PN_0229,40.38933187252025,-3.6794159774199895,12,2,2,0,40,0.1618,CRITICO
PN_0230,40.42825553500935,-3.6682322167824464,64,7,0,2,45,0.1618,CRITICO
PN_0231,40.432294745870024,-3.6540987458472816,38,5,1,0,72,0.1608,CRITICO
PN_0232,40.43590763320678,-3.7197780964057814,49,8,0,4,45,0.1599,ALTO
PN_0233,40.385804508558465,-3.717073213351011,68,3,0,7,77,0.1592,CRITICO
PN_0234,40.41796835797042,-3.623954230479686,73,4,0,4,52,0.159,CRITICO
PN_0235,40.420775831140276,-3.6849280264200193,60,6,0,4,37,0.1579,CRITICO
PN_0236,40.373821049791815,-3.7192116489200546,61,4,0,7,28,0.1579,CRITICO
PN_0237,40.434894222328474,-3.69885911099196,55,8,0,2,42,0.1576,CRITICO
PN_0238,40.41683534770782,-3.6598495937193443,28,5,1,2,45,0.1572,CRITICO
PN_0239,40.44581495149794,-3.686216586831442,33,6,0,11,24,0.157,ALTO
PN_0240,40.456966278093994,-3.729893788911199,35,5,1,0,19,0.1564,CRITICO
PN_0241,40.39903784872527,-3.701024445252839,64,5,0,4,89,0.1548,CRITICO
PN_0242,40.449065633269704,-3.703694438058124,53,8,0,2,66,0.1547,CRITICO
PN_0243,40.43076590982518,-3.6639324780555182,36,4,1,1,63,0.1543,CRITICO
PN_0244,40.43820328484033,-3.70001069217955,51,7,0,4,29,0.1538,CRITICO
PN_0245,40.421336868701175,-3.672936324215324,40,10,0,2,64,0.1537,ALTO
PN_0246,40.43289789093835,-3.6341690260281845,56,8,0,1,87,0.1536,CRITICO
PN_0247,40.446718813721134,-3.697048258369331,63,5,0,4,75,0.1533,CRITICO
PN_0248,40.41689511491539,-3.6589632113454025,69,4,0,4,45,0.1531,CRITICO
PN_0249,40.43502041744968,-3.6081017896761014,91,1,0,3,46,0.1527,CRITICO
PN_0250,40.39176473955435,-3.6778045938073793,65,4,0,5,56,0.1527,CRITICO
PN_0251,40.37089347030646,-3.6943490217091783,55,5,0,6,69,0.1526,CRITICO
PN_0252,40.42035163690642,-3.715904191251848,65,7,0,0,60,0.1522,CRITICO
PN_0253,40.38819097775171,-3.7310255600773767,51,5,0,7,70,0.1522,CRITICO
PN_0254,40.41306113036891,-3.69358622377672,56,6,0,4,49,0.152,CRITICO
PN_0255,40.42420838223522,-3.6540182363669316,23,4,1,4,44,0.1518,CRITICO
PN_0256,40.41213964651031,-3.662167734426407,61,7,0,1,56,0.1518,CRITICO
PN_0257,40.37319709678239,-3.7419982967125573,63,3,0,7,46,0.1518,CRITICO
PN_0258,40.40788272907161,-3.615119369240248,68,4,0,4,35,0.1516,CRITICO
PN_0259,40.46695902675497,-3.6539979005026293,37,9,0,4,35,0.1513,ALTO
PN_0260,40.43503393021244,-3.644094349558135,48,6,0,6,80,0.1513,ALTO
PN_0261,40.434757350592825,-3.612234784661069,53,7,0,3,35,0.1512,CRITICO
PN_0262,40.41411280419021,-3.6611268222118016,69,5,0,2,67,0.151,CRITICO
PN_0263,40.3763197183745,-3.7500870632662515,50,5,0,7,44,0.1508,CRITICO
PN_0264,40.412864238607966,-3.66202999227804,70,6,0,0,55,0.1505,CRITICO
PN_0265,40.480919982963975,-3.650077831856382,56,4,0,7,14,0.1505,CRITICO
PN_0266,40.38768091139448,-3.6408077616986416,32,3,1,3,46,0.1505,CRITICO
PN_0267,40.44704257344997,-3.65394278733715,61,5,0,4,52,0.1503,CRITICO
PN_0268,40.38476246013189,-3.633822084124864,83,2,0,3,36,0.15,CRITICO
PN_0269,40.399036302005314,-3.7443391057653397,30,10,0,4,22,0.15,ALTO
